name,retail,wholesale,discontinued,number_in_bottle
Digestion,$32.00 ,$17.60 ,,90
Digestion - Family Size,$80.00 ,$44.00 ,,270
Whole Food Vitamin/Mineral,$32.00 ,$17.60 ,,90
Acute,$40.00 ,$22.00 ,,90
Optimal B Awake,$32.00 ,$17.60 ,,90
Opti-BFF Chewables,$48.00 ,$26.40 ,,90
BonePlus Calcium,$32.00 ,$17.60 ,,90
Optimal Calm,$36.00 ,$19.80 ,,90
Chronic,$32.00 ,$17.60 ,,60
Cort Adrena,$32.00 ,$17.60 ,,90
Defense,$37.00 ,$20.35 ,,90
EFA - Essential Fatty Acids,$34.00 ,$18.70 ,,60
Fat/Sugar/Trim,$34.00 ,$18.70 ,,90
Flora Plus,$32.00 ,$17.60 ,,90
Iron,$32.00 ,$17.60 ,,120
Optimal Lightning Vita-Min Gummies,$48.00 ,$26.40 ,,90
LipoLean CLA,$70.00 ,$38.50 ,,120
Liver/Kidney,$32.00 ,$17.60 ,,90
Longevi-D k2,$37.00 ,$20.35 ,,120
Muscle Rx,$70.00 ,$38.50 ,,300
Opti-Nitric,$34.00 ,$18.70 ,,90
Opti T,$36.00 ,$19.80 ,,90
OxyPure,$34.00 ,$18.70 ,,
Optimal Sleep Gummies,$40.00 ,$22.00 ,,30
Whole C - Chewables,$24.00 ,$13.20 ,,60
Zinc-Oxy Spray,$42.00 ,$23.10 ,,
Opti-Adrenal,$36.00 ,$19.80 ,,90
Opti-Black Seed Pearls,$55.00 ,$30.25 ,,200
Opti-Brain,$42.00 ,$23.10 ,,90
Opti-Enviro Detox,$55.00 ,$30.25 ,,
Opti-Female,$36.00 ,$19.80 ,,90
Opti-GI,$34.00 ,$18.70 ,,90
Opti-Glandular,$34.00 ,$18.70 ,,60
Opti-Heart,$34.00 ,$18.70 ,,60
Opti-Immune VRL,$37.00 ,$20.35 ,,60
Opti-Iodine,$34.00 ,$18.70 ,,90
Opti Lung,$37.00 ,$20.35 ,,60
Opti-MagnaSTEM,$42.00 ,$23.10 ,,60
Opti-Metals Detox,$55.00 ,$30.25 ,,
Opti-Methyl-B,$34.00 ,$18.70 ,,90
Opti - MitoForce,$34.00 ,$18.70 ,,60
Opti-Para,$34.00 ,$18.70 ,,90
Opti-Thyroid,$40.00 ,$22.00 ,,
Essential B-12 (drops),$40.00 ,$22.00 ,,
Essential DAK 1K2,$34.00 ,$18.70 ,,60
Essential Glutathione,$34.00 ,$18.70 ,,
Essential L-Carnitine,$41.00 ,$22.55 ,,
Essential Magnesium,$34.00 ,$18.70 ,,90
Essential Therapeutic Melatonin (drops),$40.00 ,$22.00 ,,
Essential NADH + DIM,$60.00 ,$33.00 ,,30
Essential Control,$46.00 ,$25.30 ,,60
Essential P-5-P,$40.00 ,$22.00 ,,60
Essential Protect,$48.00 ,$26.40 ,,60
Essential Resveatrol,$50.00 ,$27.50 ,,90
Essential D-Ribose (Powder),$40.00 ,$22.00 ,,
Essential Shrooms,$34.00 ,$18.70 ,,60
Essential Ubuiquinol,$90.00 ,$49.50 ,,60
Essential Zinc,$29.00 ,$15.95 ,,90
